iter	Passed	Remaining
0	60	24032
1	67	13333
2	75	9965
3	81	8063
4	87	6903
5	91	6015
6	95	5361
7	103	5059
8	109	4738
9	110	4321
10	117	4138
11	122	3968
12	126	3769
13	132	3656
14	136	3501
15	142	3411
16	148	3340
17	154	3276
18	160	3214
19	161	3066
20	167	3023
21	171	2943
22	177	2904
23	180	2833
24	186	2798
25	192	2765
26	198	2736
27	203	2708
28	209	2683
29	215	2658
30	221	2634
31	227	2612
32	233	2592
33	234	2526
34	240	2509
35	243	2460
36	250	2453
37	259	2470
38	268	2486
39	277	2493
40	278	2437
41	285	2430
42	286	2377
43	293	2373
44	299	2360
45	305	2351
46	309	2324
47	315	2313
48	319	2288
49	325	2278
50	329	2254
51	333	2231
52	339	2221
53	345	2211
54	349	2189
55	353	2168
56	359	2160
57	364	2151
58	371	2145
59	377	2137
60	380	2117
61	384	2098
62	390	2091
63	396	2083
64	402	2076
65	408	2067
66	412	2049
67	416	2031
68	418	2009
69	423	1994
70	428	1987
71	430	1961
72	435	1949
73	444	1957
74	451	1954
75	454	1939
76	460	1931
77	467	1928
78	473	1922
79	478	1915
80	485	1910
81	490	1903
82	496	1897
83	500	1884
84	506	1877
85	512	1871
86	520	1870
87	526	1865
88	533	1864
89	539	1858
90	545	1853
91	552	1850
92	559	1846
93	566	1845
94	572	1838
95	580	1837
96	586	1831
97	593	1828
98	595	1812
99	603	1809
100	607	1797
101	616	1800
102	622	1795
103	629	1792
104	635	1786
105	642	1782
106	648	1775
107	654	1769
108	658	1757
109	664	1751
110	670	1744
111	676	1739
112	682	1732
113	689	1730
114	695	1723
115	701	1716
116	706	1709
117	712	1703
118	718	1696
119	724	1690
120	730	1684
121	734	1673
122	740	1667
123	743	1655
124	747	1645
125	751	1634
126	757	1627
127	762	1621
128	768	1615
129	774	1609
130	782	1607
131	789	1603
132	797	1600
133	804	1596
134	806	1583
135	813	1579
136	822	1579
137	828	1573
138	835	1568
139	840	1561
140	844	1551
141	850	1546
